GEO_ID,NAME,HighSchoolOrAbove
0400000US01,Alabama,87.1
0400000US02,Alaska,93.6
0400000US04,Arizona,87.6
0400000US05,Arkansas,87.5
0400000US06,California,84
0400000US08,Colorado,92.4
0400000US09,Connecticut,90.7
0400000US10,Delaware,90.3
0400000US11,District of Columbia,91.9
0400000US12,Florida,88.4
0400000US13,Georgia,87.9
0400000US15,Hawaii,92.4
0400000US16,Idaho,91.5
0400000US17,Illinois,89.8
0400000US18,Indiana,89.6
0400000US19,Iowa,92.6
0400000US20,Kansas,91.8
0400000US21,Kentucky,87.2
0400000US22,Louisiana,86
0400000US23,Maine,93.2
0400000US24,Maryland,90.4
0400000US25,Massachusetts,91.3
0400000US26,Michigan,91.4
0400000US27,Minnesota,93.6
0400000US28,Mississippi,85.3
0400000US29,Missouri,90.7
0400000US30,Montana,94.2
0400000US31,Nebraska,92
0400000US32,Nevada,86.9
0400000US33,New Hampshire,93.3
0400000US34,New Jersey,90.3
0400000US35,New Mexico,85.9
0400000US36,New York,87.6
0400000US37,North Carolina,88.6
0400000US38,North Dakota,93.5
0400000US39,Ohio,90.8
0400000US40,Oklahoma,88.4
0400000US41,Oregon,91.4
0400000US42,Pennsylvania,91
0400000US44,Rhode Island,89.3
0400000US45,South Carolina,88.3
0400000US46,South Dakota,92.1
0400000US47,Tennessee,88
0400000US48,Texas,84.6
0400000US49,Utah,93
0400000US50,Vermont,93.1
0400000US51,Virginia,90
0400000US53,Washington,91.7
0400000US54,West Virginia,87.1
0400000US55,Wisconsin,92.8
0400000US56,Wyoming,94.5
0400000US72,Puerto Rico,78.8