GEO_ID,NAME,DP05_0071PE,DP05_0077PE,DP05_0078PE,DP05_0079PE,DP05_0080PE,DP05_0081PE,DP05_0082PE,DP05_0084PE,DP05_0085PE
id,Geographic Area Name,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races"
0400000US01,Alabama,4.5,65.1,26.8,0.4,1.3,0,0.2,0,1.6
0400000US02,Alaska,7.2,59.8,3,15.5,5.9,1.3,0.3,0.1,6.9
0400000US04,Arizona,31.7,54,4.4,4,3.2,0.2,0.1,0.1,2.3
0400000US05,Arkansas,7.7,72,15.4,0.5,1.5,0.4,0.1,0,2.3
0400000US06,California,39.4,36.3,5.5,0.4,14.6,0.4,0.3,0.1,3
0400000US08,Colorado,21.8,67.5,4,0.6,3.2,0.1,0.2,0.1,2.6
0400000US09,Connecticut,16.9,65.6,10.1,0.2,4.6,0,0.3,0.2,2.1
0400000US10,Delaware,9.6,61.3,22,0.3,3.7,0,0.4,0.1,2.5
0400000US11,District of Columbia,11.3,37.3,44.1,0.2,4,0,0.3,0.1,2.6
0400000US12,Florida,26.4,53,15.2,0.2,2.7,0.1,0.4,0.1,1.9
0400000US13,Georgia,9.8,51.8,31.5,0.2,4.1,0.1,0.3,0.1,2
0400000US15,Hawaii,10.7,21.5,1.8,0.2,38.1,9.9,0.3,0.1,17.4
0400000US16,Idaho,12.8,81.6,0.7,1,1.4,0.1,0.1,0,2.2
0400000US17,Illinois,17.5,60.7,13.9,0.1,5.6,0,0.2,0.1,1.9
0400000US18,Indiana,7.2,78.3,9.4,0.2,2.5,0,0.2,0,2.1
0400000US19,Iowa,6.3,85.1,4,0.3,2.4,0,0.1,0,1.8
0400000US20,Kansas,12.2,75.4,5.5,0.7,2.9,0.1,0.1,0,3
0400000US21,Kentucky,3.8,84.2,8,0.2,1.6,0.1,0.1,0,2
0400000US22,Louisiana,5.4,58.2,32.1,0.5,1.7,0,0.2,0,1.7
0400000US23,Maine,1.7,92.8,1.5,0.7,1.1,0,0.2,0.1,1.9
0400000US24,Maryland,10.6,49.8,29.7,0.2,6.3,0,0.3,0.1,2.7
0400000US25,Massachusetts,12.4,70.3,7.1,0.2,6.8,0,0.8,0.2,2.1
0400000US26,Michigan,5.3,74.7,13.5,0.5,3.3,0,0.1,0.1,2.6
0400000US27,Minnesota,5.6,78.9,6.4,0.9,5,0,0.2,0.1,2.8
0400000US28,Mississippi,3,56.3,37.8,0.4,1,0,0.1,0,1.2
0400000US29,Missouri,4.3,79.1,11.4,0.4,2.1,0.1,0.2,0,2.4
0400000US30,Montana,3.8,85.8,0.6,6,0.8,0,0.1,0.1,2.8
0400000US31,Nebraska,11.3,78.4,4.8,0.7,2.4,0.1,0.1,0.1,2.1
0400000US32,Nevada,29.2,47.8,9.3,0.9,8.3,0.7,0.4,0.1,3.3
0400000US33,New Hampshire,4,89.7,1.4,0.1,2.6,0,0.1,0,2
0400000US34,New Jersey,20.9,54.3,12.7,0.1,9.6,0,0.5,0.2,1.7
0400000US35,New Mexico,49.3,36.8,1.9,8.7,1.6,0,0.2,0.1,1.5
0400000US36,New York,19.3,55.1,14.2,0.2,8.6,0,0.6,0.2,1.9
0400000US37,North Carolina,9.8,62.5,21.1,1.1,2.9,0,0.2,0.1,2.3
0400000US38,North Dakota,4,83.6,2.9,5,1.4,0.4,0.1,0,2.6
0400000US39,Ohio,4,78.3,12.4,0.1,2.3,0,0.2,0,2.6
0400000US40,Oklahoma,11.1,64.9,7.1,7.7,2.2,0.1,0.1,0.1,6.8
0400000US41,Oregon,13.4,74.9,1.8,1,4.5,0.3,0.1,0.1,3.8
0400000US42,Pennsylvania,7.8,75.6,10.7,0.1,3.5,0,0.2,0.1,2
0400000US44,Rhode Island,16.3,70.8,5.8,0.2,3.4,0,0.8,0.3,2.3
0400000US45,South Carolina,5.8,63.5,26.3,0.3,1.7,0.1,0.2,0.1,2
0400000US46,South Dakota,3.7,81.5,2.3,8.4,1.3,0.2,0,0,2.5
0400000US47,Tennessee,5.7,73.3,16.6,0.3,1.8,0,0.2,0.1,2
0400000US48,Texas,39.7,41.1,11.9,0.3,4.9,0.1,0.2,0.1,1.8
0400000US49,Utah,14.4,77.7,1.1,0.9,2.4,0.9,0.2,0,2.4
0400000US50,Vermont,2,92.5,1.3,0.4,1.4,0.1,0.1,0,2.3
0400000US51,Virginia,9.7,61.1,19,0.2,6.6,0.1,0.3,0.1,3
0400000US53,Washington,13,67.3,3.9,1.1,8.9,0.6,0.2,0.1,4.8
0400000US54,West Virginia,1.5,92,3.6,0.2,0.8,0,0.1,0.1,1.6
0400000US55,Wisconsin,7.1,80.8,6.3,0.8,2.9,0.1,0.1,0,1.9
0400000US56,Wyoming,10.1,83.7,1.1,2.1,0.8,0.1,0,0,2
0400000US72,Puerto Rico,98.2,1.3,0.1,0,0.1,0,0.2,0,0.1